Temperature,Experimental Group,Use Case,Sentence,Objective,Pattern,Accuracy,Min,Max,Precision,Count
UCR26a,control,UC3-Health,13.0,pr,1.0,0.9123771091302236,0.9023250937461853,0.925338864326477,0.9888738330198775,6
UCR26a,control,UC3-Health,14.0,ay,1.0,0.7606481273969015,0.7353999018669128,0.7853988409042358,0.982327868829199,15
UCR26a,control,UC3-Health,14.0,c,1.0,0.719355046749115,0.6161713004112244,0.7709469199180603,0.9244772308163122,15
UCR26a,control,UC3-Health,14.0,i,2.0,0.8408404588699341,0.6599883437156677,0.8665561676025391,0.951197574175497,16
UCR26a,control,UC3-Health,14.0,pr,1.0,0.7681548555692037,0.6949918270111084,0.8363901376724243,0.9452823200942143,15
UCR26a,treatment,UC1-Health,1.0,ia,2.0,1.0,1.0,1.0,1.0,15
UCR26a,treatment,UC1-Health,2.0,ay,2.0,0.8690009593963623,0.8559373617172241,1.0,0.9636183241667062,15
UCR26a,treatment,UC1-Health,2.0,ia,2.0,0.5907383422056834,0.5164240002632141,0.6605762243270874,0.9471982013267092,30
UCR26a,treatment,UC1-Health,3.0,ay,1.0,0.9932688474655151,0.9932688474655151,0.9932688474655151,1.0,15
UCR26a,treatment,UC1-Health,3.0,c,1.0,1.0,1.0,1.0,1.0,15
UCR26a,treatment,UC1-Health,3.0,i,2.0,0.8686184883117676,0.8686184883117676,0.8686184883117676,1.0,15
UCR26a,treatment,UC1-Health,3.0,pr,1.0,0.9855607509613037,0.9738143682479858,0.9898321628570557,0.9926680514049527,15
UCR26a,treatment,UC1-Health,4.0,ay,1.0,0.9400917172431946,0.926541805267334,0.9751079678535461,0.9892532135945902,15
UCR26a,treatment,UC1-Health,5.0,ay,1.0,0.9323464194933574,0.9067394137382507,0.9365787506103516,0.9900032439914289,15
UCR26a,treatment,UC1-Health,5.0,c,1.0,0.9120925744374593,0.9090110063552856,0.9244105815887451,0.996538045466465,15
UCR26a,treatment,UC1-Health,5.0,i,2.0,0.8426167209943135,0.8161675333976746,0.8466858267784119,0.9892616570395323,15
UCR26a,treatment,UC1-Health,5.0,pr,1.0,0.849770188331604,0.849770188331604,0.849770188331604,,1
UCR26a,treatment,UC1-Health,6.0,ay,1.0,0.9237845264948331,0.9138010740280151,0.9575037956237793,0.9886892823708578,13
UCR26a,treatment,UC1-Health,6.0,i,2.0,0.9366332834417169,0.8916086554527283,0.9746647477149963,0.957007197772406,11
UCR26a,treatment,UC1-Health,7.0,ay,1.0,0.9345578749974569,0.9326130151748657,0.935947060585022,0.9982832044960944,12
UCR26a,treatment,UC1-Health,7.0,i,2.0,0.8244210084279379,0.7510215044021606,0.9574376344680786,0.9271423091414536,72
UCR26a,treatment,UC1-Health,8.0,ay,1.0,0.9987055182456975,0.9805811047554016,1.00000011920929,0.9949860320280219,15
UCR26a,treatment,UC1-Health,8.0,c,1.0,0.9995191693305969,0.9995191693305969,0.9995191693305969,1.0,15
UCR26a,treatment,UC1-Health,8.0,i,2.0,0.9292958378791809,0.9292958378791809,0.9292958378791809,1.0,15
UCR26a,treatment,UC1-Health,9.0,ay,1.0,0.9742811461289723,0.9596338272094727,0.9856874942779541,0.9886461463011194,30
UCR26a,treatment,UC1-Health,9.0,c,1.0,0.9803454978712673,0.9016629457473755,1.0,0.9763051915733814,29
UCR26a,treatment,UC1-Health,9.0,i,1.0,0.8794283270835876,0.8794283270835876,0.8794283270835876,,1
UCR26a,treatment,UC1-Health,9.0,i,3.0,0.9778245608011882,0.9777718782424927,0.977828323841095,0.9999854258091098,15
